removed_from	replaced_with	reason
toefl_awl_set_05.tsv:47	fluctuate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:51)
toefl_awl_set_05.tsv:48	guideline	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_11.tsv:7)
toefl_awl_set_05.tsv:49	highlight	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:60)
toefl_awl_set_05.tsv:50	implicit	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:65)
toefl_awl_set_05.tsv:52	inevitable	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:55)
toefl_awl_set_05.tsv:53	infrastructure	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:40)
toefl_awl_set_05.tsv:54	inspect	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:57)
toefl_awl_set_05.tsv:56	manipulate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:64)
toefl_awl_set_05.tsv:58	nuclear	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:70)
toefl_awl_set_05.tsv:63	predominant	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:73)
toefl_awl_set_05.tsv:65	radical	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:86)
toefl_awl_set_05.tsv:66	random	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:87)
toefl_awl_set_05.tsv:67	reinforce	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_08.tsv:100)
toefl_awl_set_05.tsv:69	revise	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:28)
toefl_awl_set_05.tsv:70	schedule	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:31)
toefl_awl_set_05.tsv:78	virtual	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_15.tsv:62)
toefl_awl_set_05.tsv:80	widespread	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:35)
toefl_awl_set_05.tsv:81	accommodate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:1)
toefl_awl_set_05.tsv:82	analogy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_08.tsv:64)
toefl_awl_set_05.tsv:85	attain	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:4)
toefl_awl_set_05.tsv:88	cease	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:6)
toefl_awl_set_05.tsv:89	coherent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:54)
toefl_awl_set_05.tsv:92	compatible	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:26)
toefl_awl_set_05.tsv:93	concurrent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:14)
toefl_awl_set_05.tsv:94	confine	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:15)
toefl_awl_set_05.tsv:95	controversy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:37)
toefl_awl_set_05.tsv:97	device	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:28)
toefl_awl_set_05.tsv:99	diminish	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_11.tsv:20)
toefl_awl_set_05.tsv:100	distort	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:45)
toefl_awl_set_06.tsv:1	duration	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:31)
toefl_awl_set_06.tsv:2	erode	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:36)
toefl_awl_set_06.tsv:6	inherent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:55)
toefl_awl_set_06.tsv:7	insight	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:46)
toefl_awl_set_06.tsv:8	integral	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:58)
toefl_awl_set_06.tsv:9	intermediate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:60)
toefl_awl_set_06.tsv:12	mediate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_05.tsv:53)
toefl_awl_set_06.tsv:14	military	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:75)
toefl_awl_set_06.tsv:17	norm	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:55)
toefl_awl_set_06.tsv:19	passive	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_08.tsv:76)
toefl_awl_set_06.tsv:20	portion	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:80)
toefl_awl_set_06.tsv:21	preliminary	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:74)
toefl_awl_set_06.tsv:22	protocol	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:78)
toefl_awl_set_06.tsv:23	qualitative	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:84)
toefl_awl_set_06.tsv:24	refine	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:81)
toefl_awl_set_06.tsv:27	revolution	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_09.tsv:27)
toefl_awl_set_06.tsv:32	subordinate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_14.tsv:90)
toefl_awl_set_06.tsv:34	suspend	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:93)
toefl_awl_set_06.tsv:41	adjacent	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:1)
toefl_awl_set_06.tsv:43	assemble	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:13)
toefl_awl_set_06.tsv:44	collapse	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:9)
toefl_awl_set_06.tsv:46	compile	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:10)
toefl_awl_set_06.tsv:47	conceive	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:13)
toefl_awl_set_06.tsv:54	integrity	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:47)
toefl_awl_set_06.tsv:55	intrinsic	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_08.tsv:42)
toefl_awl_set_06.tsv:57	levy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:67)
toefl_awl_set_06.tsv:63	panel	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_13.tsv:45)
toefl_awl_set_06.tsv:64	persist	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:80)
toefl_awl_set_06.tsv:65	pose	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:71)
toefl_awl_set_06.tsv:69	undergo	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:98)
